 0 1 2 3 4 5
0 "civil aeronautics" airline jet aerorepublica aviation standard
1 eat pilot ha authority belgian "pilot association"
2 "police force" china administration "liu jianfeng" caac airline
3 pacific tonga grounded royal grounding australia
4 guideline set ministry airline security "airline safety"
5 investigation company "spare part" airline suspect air
6 pilot million "air china" route safety company
7 correspondent ensuring rianovosti measure state "civil aviation"
8 disease animal also "hoof mouth" "disease ha" greece
9 disease village area negev ha galilee
10 "drug vaccine" disease "hoof mouth" company abbas due
11 campaign "hoof mouth" "disease ha" veterinary dr disease
12 likely meat face disease report agency
13 "graefe zu" agriculture cap disease wa president
14 france germany crisis ha wa two
15 glavany ha "le figaro" must france europe
16 "per cent" bank rate "mortgage loan" cent increase
17 mortgage bank prodi job economy one
18 said bank 5 "mortgage rate" government greater
19 percent rate participant year earthquake victim
20 "mr takenaka" loan bank wa "million yen" approx
21 percent home loan government "mortgage rate" "source said"
22 bank rate raise fixed boj major
23 bank mortgage said prodi also "mortgage rate"
